+-------+-----+------+-----+-----+-----+--------+-----------------------------------------+--------+--------+----------+--------+--------+--------+--------+--------+------------+------------+--------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                   URI                   |  MIN   |  MAX   |   SUM    |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
| 200   | 0   | 198  | 0   | 2   | 0   | POST   | /api/login                              | 0.000  | 0.916  | 17.820   | 0.089  | 0.236  | 0.312  | 0.864  | 0.151  | 0.000      | 64.000     | 128.000      | 0.640      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                         | 11.172 | 11.172 | 11.172   | 11.172 | 11.172 | 11.172 | 11.172 | 0.000  | 27.000     | 27.000     | 27.000       | 27.000     |
| 61    | 0   | 61   | 0   | 0   | 0   | GET    | /api/livestream                         | 0.016  | 0.568  | 9.168    | 0.150  | 0.308  | 0.356  | 0.568  | 0.117  | 3.000      | 22373.000  | 106681.000   | 1748.869   |
| 74    | 0   | 73   | 0   | 1   | 0   | GET    | /api/tag                                | 0.000  | 0.652  | 8.508    | 0.115  | 0.340  | 0.460  | 0.652  | 0.149  | 6089.000   | 6095.000   | 444761.000   | 6010.284   |
| 28    | 0   | 28   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/report           | 0.004  | 0.968  | 6.880    | 0.246  | 0.760  | 0.784  | 0.968  | 0.274  | 3.000      | 22137.000  | 104873.000   | 3745.464   |
| 21    | 0   | 21   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/ngwords          | 0.004  | 0.720  | 5.012    | 0.239  | 0.516  | 0.668  | 0.720  | 0.185  | 5.000      | 143.000    | 501.000      | 23.857     |
| 24    | 0   | 24   | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/enter            | 0.004  | 1.084  | 3.472    | 0.145  | 0.340  | 0.380  | 1.084  | 0.229  | 0.000      | 0.000      | 0.000        | 0.000      |
| 15    | 0   | 15   | 0   | 0   | 0   | DELETE | /api/livestream/[0-9]+/exit             | 0.008  | 0.748  | 1.832    | 0.122  | 0.344  | 0.748  | 0.748  | 0.188  | 0.000      | 0.000      | 0.000        | 0.000      |
| 6     | 0   | 0    | 0   | 6   | 0   | -      | -                                       | 0.214  | 0.216  | 1.292    | 0.215  | 0.216  | 0.216  | 0.216  | 0.001  | 166.000    | 166.000    | 996.000      | 166.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/index-55457d82.js               | 0.065  | 0.553  | 0.618    | 0.309  | 0.553  | 0.553  | 0.553  | 0.244  | 979549.000 | 979549.000 | 1959098.000  | 979549.000 |
| 3     | 0   | 3    | 0   | 0   | 0   | GET    | /api/user/[0-9a-zA-Z]+/livestream       | 0.080  | 0.300  | 0.548    | 0.183  | 0.300  | 0.300  | 0.300  | 0.090  | 5728.000   | 5734.000   | 17196.000    | 5732.000   |
| 21    | 0   | 19   | 0   | 2   | 0   | GET    | /api/user/[0-9a-zA-Z]+                  | 0.004  | 0.196  | 0.424    | 0.020  | 0.060  | 0.068  | 0.196  | 0.044  | 38.000     | 247.000    | 3776.000     | 179.810    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/payment                            | 0.004  | 0.004  | 0.004    | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 21.000     | 21.000     | 21.000       | 21.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+                  | 0.004  | 0.004  | 0.004    | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 1479.000   | 1479.000   | 1479.000     | 1479.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/index-5265c558.css              | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 293.000    | 293.000    | 586.000      | 293.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/ISUPipe_yoko_color-fc80178e.png | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 20820.000  | 20820.000  | 41640.000    | 20820.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /favicon.ico                            | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 283.000    | 283.000    | 566.000      | 283.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/login-dc4055a7.js               | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1249.000   | 1249.000   | 1249.000     | 1249.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/FormLabel-c342aa29.js           | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 5118.000   | 5118.000   | 10236.000    | 5118.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/index.esm-bd2deef7.js           | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 22126.000  | 22126.000  | 22126.000    | 22126.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /user                                   | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 283.000    | 283.000    | 283.000      | 283.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/user-04696bae.js                | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 3391.000   | 3391.000   | 3391.000     | 3391.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /                                       | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 283.000    | 283.000    | 283.000      | 283.000    |
| 2     | 0   | 0    | 0   | 2   | 0   | GET    | /ws/btcusdt@depth@0ms                   | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 162.000    | 162.000    | 324.000      | 162.000    |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------+--------+--------+----------+--------+--------+--------+--------+--------+------------+------------+--------------+------------+
